000000000333.jpg#0	Terdapat tiga buah bantal yang bercorak diatas sofa yang berwarna merah hati .
000008879441.jpg#0	Di depan terdapat tiga rak buku berbentuk segi empat berwarna biru dan didalamnya terisi penuh dengan berbagai macam buku .
000008879441.jpg#1	Terdapat sebuah sofa berwarna biru diatasnya terdapat beberapa bantal dan guling yang berwarna biru .
000008879441.jpg#2	Di depan terdapat dua buah meja kaca berbentuk lingkaran diatasnya terdapan beberapa buku, vas bunga, segelas minuman dan semangkuk cemilan .
000008879441.jpg#3	Di atas terdapat langit-langit yang yang bergambar seperti tumbuhan .
000008879441.jpg#4	Di depan terdapat empat buah lampu yang menempel terhadap rak buku .
000000578489.jpg#0	Terdapat jendela berbentuk segi empat yang memeiliki bingkai berwarna putih dan tidak memiliki tirai .
000000578489.jpg#1	Di depan terdapat dua buah sofa berwarna putih yang sedang diduduki oleh beberapa orang sembari menonton sesuatu .
000000578489.jpg#2	Terdapat beberapa orang dewasa dan anak-anak yang sedang bermain dan ada yang menonton televisi .
000000578489.jpg#3	Di bawah terdapat lantai bermotif seperti serat kayu yang berwarna cokelat tua .
000000578489.jpg#4	Di sisi kiri terdapat sebuah kotak berwarna biru dan beberapa botol yang diletakkan di sisi jendela.
000000018150.jpg#0	Seorang ayah sedang memberikan anak laki-lakinya sebuah pizza untuk dimakan .
000000018150.jpg#1	Terdapat sebuah kasur berwarna merah yang diatasnya terdapat seorang lelaki, seorang anak kecil dan sekotak pizza .
000000018150.jpg#2	Di depan terdapat sebuah pintu berbentuk segi empat berwarna putih dan memiliki tirai berwarna hitam .
000000018150.jpg#3	Di sisi kiri terdapat sebuah meja kayu berbentuk segi empat dan sebuah sofa berwarna hitam diatasnya terdapat beberapa selimut yang tidak diletakkan dengan rapi .
000000018150.jpg#4	Di bawah terdapat lantai berwarna putih yang tidak ditutupi oleh karpet .
000000019786.jpg#0	Di sisi kiri bawah terdapat sebuah koper berbentuk segi empat dan berwarna abu-abu .
000000019786.jpg#1	Di sisi kiri terdapat sebuah kursi berwarna putih dan terdapat sebuah jaket berwarna cokelat yang diletakkan di kursi tersebut .
000000019786.jpg#2	Terdapat sebuah lampu softbox yang digunakan untuk pencahayaan saat memfoto sesuatu .
000000019786.jpg#3	Di depan tedapat sofa berwarna abu-abu dengan konfigurasi seperti huruf L .
000000019786.jpg#4	Terdapat dua orang laki-laki yang sedang tertawa menertawakan sesuatu .
000000058350.jpg#0	Dua orang wanita duduk di sofa salah satunya sedang memakan sepotong pizza .
000000058350.jpg#1	Di sisi kanan terdapat seorang wanita memakai baju berwarna hijau sedang memegang dua buah pisau berwarna kuning .
000000058350.jpg#2	Terdapat sebuah sofa berwarna merah dengan motif bunga dan diatasnya terdapat dua orang wanita yang sedang duduk .
000000058350.jpg#3	Terdapat dinding berwarna putih yang tidak dihiasi dengan lukisan ataupun hiasan dinding .
000000058350.jpg#4	Di sisi kiri bawah terdapat sebuah tas berwarna kuning yang diletakkan bersebelahan dengan sofa .
000000097337.jpg#0	Di depan terdapat sebuah meja kayu kecil yang digunakan sebagai tempat untuk menaruh televisi dan pemutar DVD .
000000097337.jpg#1	Di depan terdapat sebuah meja kaca berbentuk segi empat diatasnya terdapat beberapa hiasan dan sebuah buku .
000000097337.jpg#2	Di sisi kanan terdapat sebuah rak yang terbuat dari pipa besi dan terdapat beberapa foto dan jam pada rak tersebut .
000000097337.jpg#3	Terdapat beberapa sofa yang berwarna putih dan hitam dan terdapat sebuah selimut diatasnya .
000000097337.jpg#4	Di depan terdapat jendela berbentuk segi empat dan memiliki teralis berwarna hitam .
000000182155.jpg#0	Terdapat dua orang wanita yang terlihat identik sedang bermain video gim bersama-sama.
000000182155.jpg#1	Di depan terdapat sebuah sofa berwarna hitam diatasnya terdapat selimut berwarna kuning .
000000182155.jpg#2	Di sisi kanan terdapat sebuah tirai berwarna merah hati .
000000182155.jpg#3	Terdapat dinding yang berwarna kekuningan dan tidak ada ada hiasan apapun .
000000182155.jpg#4	Terdapat dua buah kontroler video gim yang masing-masing dimainkan oleh seorang wanita .
000000194832.jpg#0	Terdapat banyak kursi di dalam sebuah bus yang semuanya bermotif kotak-kotak .
000000194832.jpg#1	Di depan terdapat sebuah televisi LED yang ditempel di bagian depan bus .
000000194832.jpg#2	Terdapat banyak jendela berbentuk segi empat dan masing-masing mempunyai teralis besi berwarna silver .
000000194832.jpg#3	Di bawah terdapat lantai bus yang terlihat sudah kusam akibat kondisi bus yang cukup tua .
000000194832.jpg#4	Di atas terdapat atap bus yang dicat berwarna kuning dan kondisinya masih berkilau dan terawat dengan baik .
000000251572.jpg#0	Terdapat seekor anjing berwarna hitam yang sedang berbaring di atas sofa .
000000251572.jpg#1	Terdapat seekor anjing berwarna colekat hitam yang sedang berbaring diatas sofa .
000000251572.jpg#2	Di sisi kanan terdapat sebuah tirai berwarna putih yang menutupi sebuah jendela .
000000251572.jpg#3	Di sudut kanan dan kiri terdapat sebuah kayu panjang berwarna cokelat sebagai pemanis ruangan .
000000251572.jpg#4 	Di depan terdapat dinding berwarna putih yang tidak dihiasi dengan lukisan ataupun hiasan dinding .
000000367195.jpg#0	Terdapat dua orang wanita yang sedang bermain video gim dan tertawa bersama .
000000367195.jpg#1	Di depan terdapat sebuah lukisan bergambar seekor anak anjing yang berwarna putih .
000000367195.jpg#2	Di depan terdapat sebuah sofa berwarna putih dan terlihat sangat empuk .
000000367195.jpg#3	Terdapat dinding berwarna putih dan ada beberapa hiasan yang ditempel pada dinding tersebut .
000000367195.jpg#4	Terdapat dua buah kontroler gim yang masing-masing dimainkan oleh seorang wanita .
000000465549.jpg#0	Terdapat seorang laki-laki dan perempuan yang sedang asik bermain video gim bersama .
000000465549.jpg#1	Di sisi kanan terdapat sofa berwarna putih dan diatasnya terdapat beberapa barang yang dibiarkan berantakan .
000000465549.jpg#2	Di sisi kanan atas terdapat sebuah akuarium yang memiliki aksen kayu dan diletakkan menempel di dinding .
000000465549.jpg#3	Di sisi kiri terdapat jendela berbentuk segi empat dan tidak memiliki tirai .
000000465549.jpg#4	Di depan terdapat meja kaca berbentuk segi empat dan diatasnya terdapat beberapa barang seperti kotak tisu dan cemilan .
000000468501.jpg#0	Terdapat dua orang perempuan yang sedang asik bermain video gim bersama .
000000468501.jpg#1	Di sisi kiri bawah erdapat tumpukan barang elektronik seperti pengeras suara dan pemutar DVD .
000000468501.jpg#2	Di depan terdapat jendela dan pintu yang berbentuk segi empat dan berwarna putih .
000000468501.jpg#3	Di sisi kanan terdapat perapian yang terbuat dari batu bata .
000000468501.jpg#4	Di sisi kiri terdapat sebuah sofa berwarna cokelat dan diatasnya terdapat beberapa bantal dan seorang wanita yang sedang duduk .
000000468954.jpg#0	Terdapat dua orang anak perempuan yang sedang bermain video gim bersama .
000000468954.jpg#1	Di depan terdapat sebuah papan seluncur berwarna kuning yang dipajang di atas tembok .
000000468954.jpg#2	Di sudut kiri terdapat sebuah lemari kayu yang terdapat banyak hiasan seperti teko keramik dan patung berbentuk binatang .
000000468954.jpg#3	Di sisi kiri terdapat seorang pria berbaju hitam  sedang duduk di sofa seraya melihat dua orang anak perempuan bermain gim .
000000468954.jpg#4	Di depan terdapat sofa berwarna kecokelatan dan terdapat beberapa selimut diatasnya .
